,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
245,30,0.3,0.3,1,0,0,0.0
246,30,0.3,0.3,507,61,1,0.026169300079345703
247,30,0.3,0.3,645,0,0,0.05370974540710449
248,30,0.3,0.3,29,0,0,0.0
249,30,0.3,0.3,576,59,1,0.06780385971069336
250,30,0.3,0.3,611,0,0,0.03276228904724121
251,30,0.3,0.3,585,0,0,0.03120589256286621
252,30,0.3,0.3,590,0,0,0.029662132263183594
253,30,0.3,0.3,502,59,1,0.030443906784057617
254,30,0.3,0.3,1,0,0,0.0
255,30,0.3,0.3,505,59,1,0.03038191795349121
256,30,0.3,0.3,510,59,1,0.017464160919189453
257,30,0.3,0.3,310,59,1,0.017824172973632812
258,30,0.3,0.3,3,0,0,0.0
259,30,0.3,0.3,12,0,0,0.0
260,30,0.3,0.3,476,59,1,0.01772928237915039
261,30,0.3,0.3,516,59,1,0.032993316650390625
262,30,0.3,0.3,640,0,0,0.030134201049804688
263,30,0.3,0.3,494,59,1,0.016800880432128906
264,30,0.3,0.3,334,59,1,0.016483545303344727
265,30,0.3,0.3,442,59,1,0.018297195434570312
266,30,0.3,0.3,290,59,1,0.01644110679626465
267,30,0.3,0.3,598,0,0,0.059592485427856445
268,30,0.3,0.3,624,0,0,0.031577348709106445
269,30,0.3,0.3,359,75,1,0.013492345809936523
270,30,0.3,0.3,11,0,0,0.001047372817993164
271,30,0.3,0.3,370,61,1,0.03859591484069824
272,30,0.3,0.3,445,59,1,0.030600786209106445
273,30,0.3,0.3,577,71,1,0.02932429313659668
274,30,0.3,0.3,434,59,1,0.014325857162475586
275,30,0.3,0.3,17,0,0,0.0
276,30,0.3,0.3,476,61,1,0.06631994247436523
277,30,0.3,0.3,522,59,1,0.018327951431274414
278,30,0.3,0.3,482,59,1,0.017803430557250977
279,30,0.3,0.3,614,0,0,0.02548670768737793
280,30,0.3,0.3,427,59,1,0.03603339195251465
281,30,0.3,0.3,446,59,1,0.018489599227905273
282,30,0.3,0.3,555,63,1,0.03274893760681152
283,30,0.3,0.3,467,59,1,0.017366886138916016
284,30,0.3,0.3,510,0,0,0.016595840454101562
285,30,0.3,0.3,457,59,1,0.033133506774902344
286,30,0.3,0.3,522,61,1,0.015723705291748047
287,30,0.3,0.3,430,59,1,0.0071794986724853516
288,30,0.3,0.3,384,59,1,0.016514062881469727
289,30,0.3,0.3,395,59,1,0.01689910888671875
290,30,0.3,0.3,591,0,0,0.03331875801086426
291,30,0.3,0.3,299,59,1,0.017914533615112305
292,30,0.3,0.3,1,0,0,0.0
293,30,0.3,0.3,449,59,1,0.016622066497802734
294,30,0.3,0.3,582,0,0,0.033360958099365234
295,30,0.3,0.3,490,63,1,0.016787052154541016
296,30,0.3,0.3,5,0,0,0.0
297,30,0.3,0.3,447,59,1,0.03346371650695801
298,30,0.3,0.3,493,59,1,0.049902915954589844
299,30,0.3,0.3,471,0,0,0.01666426658630371
300,30,0.3,0.4,362,65,1,0.03324604034423828
301,30,0.3,0.4,5,0,0,0.0
302,30,0.3,0.4,3,0,0,0.0
303,30,0.3,0.4,473,61,1,0.03420877456665039
304,30,0.3,0.4,472,59,1,0.04895305633544922
305,30,0.3,0.4,4,0,0,0.0
306,30,0.3,0.4,476,59,1,0.032919883728027344
307,30,0.3,0.4,464,63,1,0.033113718032836914
308,30,0.3,0.4,625,0,0,0.034131765365600586
309,30,0.3,0.4,1,0,0,0.0
310,30,0.3,0.4,490,63,1,0.031103134155273438
311,30,0.3,0.4,1,0,0,0.0
312,30,0.3,0.4,36,0,0,0.0
313,30,0.3,0.4,3,0,0,0.0
314,30,0.3,0.4,524,59,1,0.033086299896240234
315,30,0.3,0.4,607,0,0,0.03300642967224121
316,30,0.3,0.4,625,0,0,0.0334625244140625
317,30,0.3,0.4,7,0,0,0.0
318,30,0.3,0.4,407,59,1,0.0010404586791992188
319,30,0.3,0.4,33,0,0,0.014691352844238281
320,30,0.3,0.4,414,69,1,0.018992900848388672
321,30,0.3,0.4,486,59,1,0.03905177116394043
322,30,0.3,0.4,1,0,0,0.0
323,30,0.3,0.4,513,61,1,0.021308422088623047
324,30,0.3,0.4,512,59,1,0.05151987075805664
325,30,0.3,0.4,465,63,1,0.01666259765625
326,30,0.3,0.4,1,0,0,0.0
327,30,0.3,0.4,100,0,0,0.0
328,30,0.3,0.4,515,59,1,0.04909706115722656
329,30,0.3,0.4,585,0,0,0.03329634666442871
330,30,0.3,0.4,408,69,1,0.015628814697265625
331,30,0.3,0.4,1,0,0,0.0
332,30,0.3,0.4,1,0,0,0.0
333,30,0.3,0.4,518,61,1,0.03395795822143555
334,30,0.3,0.4,3,0,0,0.0
335,30,0.3,0.4,456,61,1,0.016828298568725586
336,30,0.3,0.4,625,0,0,0.03319072723388672
337,30,0.3,0.4,337,61,1,0.034918785095214844
338,30,0.3,0.4,390,59,1,0.016706466674804688
339,30,0.3,0.4,1,0,0,0.0
340,30,0.3,0.4,1,0,0,0.0
341,30,0.3,0.4,515,71,1,0.04439043998718262
342,30,0.3,0.4,4,0,0,0.000997304916381836
343,30,0.3,0.4,484,61,1,0.02907419204711914
344,30,0.3,0.4,623,0,0,0.035805702209472656
345,30,0.3,0.4,389,59,1,0.016862154006958008
346,30,0.3,0.4,443,61,1,0.024196863174438477
347,30,0.3,0.4,424,61,1,0.021514415740966797
348,30,0.3,0.4,484,59,1,0.028347253799438477
349,30,0.3,0.4,624,0,0,0.02440047264099121
350,30,0.3,0.4,623,0,0,0.030716419219970703
351,30,0.3,0.4,520,59,1,0.015704631805419922
352,30,0.3,0.4,1,0,0,0.0
353,30,0.3,0.4,609,0,0,0.04979395866394043
354,30,0.3,0.4,407,59,1,0.07726097106933594
355,30,0.3,0.4,20,0,0,0.0
356,30,0.3,0.4,48,0,0,0.0
357,30,0.3,0.4,542,61,1,0.03136563301086426
358,30,0.3,0.4,448,61,1,0.016684293746948242
359,30,0.3,0.4,359,59,1,0.019041061401367188
360,30,0.3,0.4,640,0,0,0.034651756286621094
361,30,0.3,0.4,1,0,0,0.0
362,30,0.3,0.4,571,0,0,0.03254890441894531
363,30,0.3,0.4,31,0,0,0.0
364,30,0.3,0.4,420,59,1,0.016577959060668945
