,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
246,50,0.3,1764,0,0,0.6083409786224365
247,50,0.3,1077,99,1,0.30286264419555664
248,50,0.3,1242,99,1,0.31792426109313965
249,50,0.3,1336,99,1,0.4181327819824219
250,50,0.3,1732,0,0,0.5808353424072266
251,50,0.3,1704,0,0,0.5684549808502197
252,50,0.3,1774,0,0,0.7311151027679443
253,50,0.3,8,0,0,0.016095399856567383
254,50,0.3,1717,0,0,0.7822210788726807
255,50,0.3,1076,103,1,0.30977511405944824
256,50,0.3,1302,103,1,0.4349174499511719
257,50,0.3,3,0,0,0.0
258,50,0.3,1,0,0,0.011869430541992188
259,50,0.3,1247,103,1,0.28330159187316895
260,50,0.3,1717,0,0,0.6172418594360352
261,50,0.3,1243,99,1,0.24335765838623047
262,50,0.3,1260,99,1,0.42993879318237305
263,50,0.3,1450,103,1,0.549889087677002
264,50,0.3,1521,101,1,0.5640733242034912
265,50,0.3,7,0,0,0.0020377635955810547
266,50,0.3,12,0,0,0.0
267,50,0.3,1,0,0,0.0
268,50,0.3,1328,99,1,0.40627169609069824
269,50,0.3,12,0,0,0.0
270,50,0.3,4,0,0,0.0
271,50,0.3,1432,99,1,0.5469446182250977
272,50,0.3,1634,0,0,0.6439359188079834
273,50,0.3,1713,0,0,0.5832643508911133
274,50,0.3,1,0,0,0.0
275,50,0.3,1,0,0,0.0
276,50,0.3,1744,0,0,0.6155242919921875
277,50,0.3,809,103,1,0.15340662002563477
278,50,0.3,1685,0,0,0.5556721687316895
279,50,0.3,1727,0,0,0.6824493408203125
280,50,0.3,1454,107,1,0.46826672554016113
281,50,0.3,1254,99,1,0.3753535747528076
282,50,0.3,7,0,0,0.0
283,50,0.3,1471,101,1,0.5160868167877197
284,50,0.3,1367,99,1,0.4011728763580322
285,50,0.3,1638,0,0,0.5883936882019043
286,50,0.3,4,0,0,0.012811899185180664
287,50,0.3,1424,99,1,0.4392576217651367
288,50,0.3,7,0,0,0.015883922576904297
289,50,0.3,1419,103,1,0.41852426528930664
290,50,0.3,1224,99,1,0.436779260635376
291,50,0.3,1341,99,1,0.4566636085510254
292,50,0.3,3,0,0,0.0
293,50,0.3,1679,0,0,0.5498082637786865
294,50,0.3,1291,105,1,0.35114002227783203
295,50,0.3,1130,99,1,0.30763959884643555
296,50,0.3,1726,0,0,0.574446439743042
297,50,0.3,14,0,0,0.0
298,50,0.3,1605,0,0,0.5293459892272949
299,50,0.3,1443,103,1,0.4552476406097412
300,50,0.4,1,0,0,0.0033254623413085938
301,50,0.4,1,0,0,0.0
302,50,0.4,1,0,0,0.0
303,50,0.4,56,0,0,0.0
304,50,0.4,6,0,0,0.0
305,50,0.4,122,0,0,0.0
306,50,0.4,7,0,0,0.0
307,50,0.4,134,0,0,0.0
308,50,0.4,3,0,0,0.0
