,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
53,50,0.1,1277,1133,1,1.4262919425964355
54,50,0.1,1289,1055,1,1.1627418994903564
55,50,0.1,1212,1077,1,1.1134297847747803
56,50,0.1,1274,1069,1,1.365412950515747
57,50,0.1,1197,969,1,1.1373062133789062
58,50,0.1,1262,849,1,1.2595767974853516
59,50,0.1,1252,1105,1,1.1639440059661865
60,50,0.1,1230,1037,1,1.221541166305542
61,50,0.1,1162,1089,1,1.0041437149047852
62,50,0.1,1176,1067,1,1.229623794555664
63,50,0.1,1133,995,1,1.0548226833343506
64,50,0.1,1259,969,1,1.3753647804260254
65,50,0.1,1260,991,1,1.0843777656555176
66,50,0.1,1273,1119,1,1.3353888988494873
67,50,0.1,1044,895,1,0.8996331691741943
68,50,0.1,1342,1033,1,1.3668439388275146
69,50,0.1,1323,1121,1,1.2886161804199219
70,50,0.1,1227,1045,1,1.2156903743743896
71,50,0.1,1289,1015,1,1.283174991607666
72,50,0.1,1229,1071,1,1.3228871822357178
73,50,0.1,1237,1093,1,1.127112627029419
74,50,0.1,1331,1009,1,1.346663236618042
75,50,0.1,1267,1155,1,1.1496732234954834
76,50,0.1,1282,1123,1,1.1812944412231445
77,50,0.1,1271,983,1,1.1166329383850098
78,50,0.1,1220,981,1,1.2121117115020752
79,50,0.1,1203,1093,1,1.2657182216644287
80,50,0.1,1301,1111,1,1.0975151062011719
81,50,0.1,1218,1079,1,1.1674203872680664
82,50,0.1,1300,1043,1,1.1832265853881836
83,50,0.1,1278,1037,1,1.1788671016693115
84,50,0.1,1208,1041,1,0.9848451614379883
85,50,0.1,1129,993,1,0.9690241813659668
86,50,0.1,1226,1073,1,1.1465094089508057
87,50,0.1,1306,1035,1,1.232774019241333
88,50,0.1,2252,0,0,2.414025068283081
89,50,0.1,1282,1105,1,1.2166876792907715
90,50,0.1,1262,1051,1,1.3867077827453613
91,50,0.1,1240,989,1,1.1684834957122803
92,50,0.1,1362,1145,1,1.0842244625091553
93,50,0.1,1150,951,1,1.111846923828125
94,50,0.1,1328,1077,1,1.167222499847412
95,50,0.1,1327,949,1,1.4624302387237549
96,50,0.1,1154,1037,1,1.384570598602295
97,50,0.1,1277,1087,1,1.4736967086791992
98,50,0.1,1193,1055,1,1.0171079635620117
99,50,0.1,1186,1047,1,1.2837753295898438
100,50,0.2,1259,823,1,1.14131498336792
101,50,0.2,1183,859,1,0.9998178482055664
102,50,0.2,1273,819,1,1.298581600189209
103,50,0.2,1252,863,1,1.1987717151641846
104,50,0.2,1311,823,1,1.1475284099578857
105,50,0.2,1088,785,1,1.0415387153625488
106,50,0.2,1,0,0,0.001047372817993164
107,50,0.2,1167,847,1,1.0651257038116455
108,50,0.2,1327,857,1,1.2203080654144287
109,50,0.2,1,0,0,0.01562047004699707
110,50,0.2,1145,811,1,1.0318853855133057
111,50,0.2,1216,901,1,1.084547996520996
112,50,0.2,1228,925,1,1.1063060760498047
113,50,0.2,1374,743,1,1.3035156726837158
114,50,0.2,1362,809,1,1.2498745918273926
115,50,0.2,1230,879,1,1.1011226177215576
116,50,0.2,1,0,0,0.0
117,50,0.2,1173,825,1,1.016857624053955
118,50,0.2,1120,783,1,0.9989981651306152
119,50,0.2,1351,757,1,1.2831246852874756
120,50,0.2,1262,881,1,1.20389986038208
