,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
191,30,0.3,0.2,202,59,1,0.008813619613647461
192,30,0.3,0.2,226,59,1,0.013683557510375977
193,30,0.3,0.2,11,0,0,0.0
194,30,0.3,0.2,284,59,1,0.023280858993530273
195,30,0.3,0.2,200,59,1,0.006323337554931641
196,30,0.3,0.2,207,59,1,0.0
197,30,0.3,0.2,168,59,1,0.004011392593383789
198,30,0.3,0.2,322,61,1,0.0
199,30,0.3,0.2,280,59,1,0.01765131950378418
200,30,0.3,0.3,1,0,0,0.0
201,30,0.3,0.3,398,63,1,0.013072490692138672
202,30,0.3,0.3,1,0,0,0.0
203,30,0.3,0.3,6,0,0,0.0
204,30,0.3,0.3,434,65,1,0.03293752670288086
205,30,0.3,0.3,489,0,0,0.013884782791137695
206,30,0.3,0.3,325,59,1,0.016635894775390625
207,30,0.3,0.3,273,59,1,0.00731968879699707
208,30,0.3,0.3,560,0,0,0.030084848403930664
209,30,0.3,0.3,297,61,1,0.01711893081665039
210,30,0.3,0.3,312,59,1,0.0
211,30,0.3,0.3,284,67,1,0.015941858291625977
212,30,0.3,0.3,238,61,1,0.00103759765625
213,30,0.3,0.3,586,0,0,0.03230690956115723
214,30,0.3,0.3,432,61,1,0.01640605926513672
215,30,0.3,0.3,435,61,1,0.01665472984313965
216,30,0.3,0.3,1,0,0,0.0
217,30,0.3,0.3,642,0,0,0.06582522392272949
218,30,0.3,0.3,473,83,1,0.016805171966552734
219,30,0.3,0.3,455,65,1,0.03147125244140625
220,30,0.3,0.3,1,0,0,0.0
221,30,0.3,0.3,481,63,1,0.0334172248840332
222,30,0.3,0.3,594,0,0,0.07730960845947266
223,30,0.3,0.3,370,61,1,0.014863729476928711
224,30,0.3,0.3,3,0,0,0.0063440799713134766
225,30,0.3,0.3,369,59,1,0.013667106628417969
226,30,0.3,0.3,1,0,0,0.0
227,30,0.3,0.3,185,63,1,0.0023458003997802734
228,30,0.3,0.3,28,0,0,0.004804849624633789
229,30,0.3,0.3,402,0,0,0.013725757598876953
230,30,0.3,0.3,22,0,0,0.0
231,30,0.3,0.3,167,59,1,0.014455318450927734
232,30,0.3,0.3,5,0,0,0.0
233,30,0.3,0.3,554,0,0,0.03219127655029297
234,30,0.3,0.3,272,59,1,0.01285243034362793
235,30,0.3,0.3,264,59,1,0.014579534530639648
236,30,0.3,0.3,563,0,0,0.024522781372070312
237,30,0.3,0.3,4,0,0,0.0010039806365966797
238,30,0.3,0.3,14,0,0,0.0
239,30,0.3,0.3,245,63,1,0.02093338966369629
240,30,0.3,0.3,279,59,1,0.014548778533935547
241,30,0.3,0.3,293,59,1,0.008413076400756836
242,30,0.3,0.3,1,0,0,0.0
243,30,0.3,0.3,294,61,1,0.014105081558227539
244,30,0.3,0.3,259,61,1,0.014709711074829102
245,30,0.3,0.3,1,0,0,0.0005385875701904297
246,30,0.3,0.3,295,61,1,0.015481948852539062
247,30,0.3,0.3,645,0,0,0.04006242752075195
248,30,0.3,0.3,29,0,0,0.0
249,30,0.3,0.3,392,59,1,0.028597354888916016
250,30,0.3,0.3,611,0,0,0.03235936164855957
251,30,0.3,0.3,585,0,0,0.03499603271484375
252,30,0.3,0.3,590,0,0,0.04163074493408203
253,30,0.3,0.3,356,59,1,0.012670040130615234
254,30,0.3,0.3,1,0,0,0.005234479904174805
255,30,0.3,0.3,329,59,1,0.027152299880981445
256,30,0.3,0.3,355,59,1,0.015980958938598633
257,30,0.3,0.3,180,59,1,0.016481876373291016
258,30,0.3,0.3,3,0,0,0.0010347366333007812
259,30,0.3,0.3,12,0,0,0.0
260,30,0.3,0.3,322,59,1,0.015825271606445312
261,30,0.3,0.3,313,59,1,0.01591348648071289
262,30,0.3,0.3,640,0,0,0.0353391170501709
263,30,0.3,0.3,351,59,1,0.016846656799316406
264,30,0.3,0.3,189,59,1,0.0
265,30,0.3,0.3,221,59,1,0.01663947105407715
266,30,0.3,0.3,142,59,1,0.0
267,30,0.3,0.3,598,0,0,0.03221917152404785
268,30,0.3,0.3,624,0,0,0.030379056930541992
269,30,0.3,0.3,317,75,1,0.014744043350219727
270,30,0.3,0.3,11,0,0,0.006298065185546875
271,30,0.3,0.3,231,61,1,0.011900901794433594
272,30,0.3,0.3,213,59,1,0.014620065689086914
273,30,0.3,0.3,565,71,1,0.056586265563964844
274,30,0.3,0.3,280,59,1,0.014631271362304688
275,30,0.3,0.3,17,0,0,0.0010378360748291016
276,30,0.3,0.3,327,61,1,0.02935028076171875
277,30,0.3,0.3,407,59,1,0.02538156509399414
278,30,0.3,0.3,235,59,1,0.015609264373779297
279,30,0.3,0.3,614,0,0,0.03572273254394531
280,30,0.3,0.3,259,59,1,0.01792001724243164
281,30,0.3,0.3,257,59,1,0.017454862594604492
282,30,0.3,0.3,450,63,1,0.017355680465698242
283,30,0.3,0.3,348,59,1,0.016930818557739258
284,30,0.3,0.3,510,0,0,0.03331303596496582
285,30,0.3,0.3,315,59,1,0.0
286,30,0.3,0.3,387,61,1,0.01669454574584961
287,30,0.3,0.3,243,59,1,0.007155179977416992
288,30,0.3,0.3,293,59,1,0.017720460891723633
289,30,0.3,0.3,237,59,1,0.0
290,30,0.3,0.3,591,0,0,0.033522605895996094
291,30,0.3,0.3,228,59,1,0.015605688095092773
292,30,0.3,0.3,1,0,0,0.0
293,30,0.3,0.3,206,59,1,0.0
294,30,0.3,0.3,582,0,0,0.03224539756774902
295,30,0.3,0.3,374,63,1,0.016828298568725586
296,30,0.3,0.3,5,0,0,0.0
297,30,0.3,0.3,241,59,1,0.0010366439819335938
298,30,0.3,0.3,284,59,1,0.01682567596435547
299,30,0.3,0.3,471,0,0,0.016638517379760742
300,30,0.3,0.4,211,65,1,0.01628589630126953
301,30,0.3,0.4,5,0,0,0.0
302,30,0.3,0.4,3,0,0,0.0
303,30,0.3,0.4,252,61,1,0.0
304,30,0.3,0.4,305,59,1,0.03313446044921875
305,30,0.3,0.4,4,0,0,0.0
306,30,0.3,0.4,315,59,1,0.017004013061523438
307,30,0.3,0.4,297,63,1,0.0
308,30,0.3,0.4,625,0,0,0.032828569412231445
309,30,0.3,0.4,1,0,0,0.0
310,30,0.3,0.4,414,63,1,0.016921520233154297
311,30,0.3,0.4,1,0,0,0.0
312,30,0.3,0.4,36,0,0,0.0
313,30,0.3,0.4,3,0,0,0.0
314,30,0.3,0.4,319,59,1,0.016627073287963867
315,30,0.3,0.4,607,0,0,0.03273153305053711
316,30,0.3,0.4,625,0,0,0.032144784927368164
317,30,0.3,0.4,7,0,0,0.0
318,30,0.3,0.4,260,59,1,0.015341043472290039
319,30,0.3,0.4,33,0,0,0.0
320,30,0.3,0.4,292,69,1,0.0
321,30,0.3,0.4,308,59,1,0.028671979904174805
322,30,0.3,0.4,1,0,0,0.0
323,30,0.3,0.4,323,61,1,0.01694035530090332
324,30,0.3,0.4,386,59,1,0.01663374900817871
325,30,0.3,0.4,406,63,1,0.01665639877319336
326,30,0.3,0.4,1,0,0,0.0
327,30,0.3,0.4,100,0,0,0.0
328,30,0.3,0.4,280,59,1,0.016514062881469727
329,30,0.3,0.4,585,0,0,0.044631004333496094
330,30,0.3,0.4,338,71,1,0.03350543975830078
331,30,0.3,0.4,1,0,0,0.0010275840759277344
332,30,0.3,0.4,1,0,0,0.0
333,30,0.3,0.4,332,61,1,0.014841556549072266
334,30,0.3,0.4,3,0,0,0.0
335,30,0.3,0.4,360,61,1,0.016805648803710938
336,30,0.3,0.4,625,0,0,0.03224945068359375
337,30,0.3,0.4,179,61,1,0.016038894653320312
338,30,0.3,0.4,234,59,1,0.016723155975341797
339,30,0.3,0.4,1,0,0,0.0
340,30,0.3,0.4,1,0,0,0.0
341,30,0.3,0.4,501,73,1,0.06608867645263672
342,30,0.3,0.4,4,0,0,0.001828908920288086
343,30,0.3,0.4,309,61,1,0.022037506103515625
344,30,0.3,0.4,623,0,0,0.031468868255615234
345,30,0.3,0.4,195,59,1,0.00895237922668457
346,30,0.3,0.4,284,61,1,0.021687984466552734
347,30,0.3,0.4,217,61,1,0.008067607879638672
348,30,0.3,0.4,325,59,1,0.017075777053833008
349,30,0.3,0.4,624,0,0,0.030393600463867188
350,30,0.3,0.4,623,0,0,0.060559988021850586
351,30,0.3,0.4,390,59,1,0.01663661003112793
352,30,0.3,0.4,1,0,0,0.0
353,30,0.3,0.4,609,0,0,0.08331155776977539
354,30,0.3,0.4,208,59,1,0.0
355,30,0.3,0.4,20,0,0,0.0
356,30,0.3,0.4,48,0,0,0.0
357,30,0.3,0.4,374,61,1,0.016638994216918945
358,30,0.3,0.4,371,61,1,0.01670527458190918
359,30,0.3,0.4,239,59,1,0.016894817352294922
360,30,0.3,0.4,640,0,0,0.032427310943603516
361,30,0.3,0.4,1,0,0,0.0
362,30,0.3,0.4,571,0,0,0.049919843673706055
363,30,0.3,0.4,31,0,0,0.0
364,30,0.3,0.4,246,59,1,0.01639270782470703
