,Dimension,Probability,q-values,Number_of_nodes_visited,Path_Length,Solvable,Time
204,50,0.3,0.3,14,0,0,0.015775203704833984
205,50,0.3,0.3,1676,98,1,0.8446269035339355
206,50,0.3,0.3,1716,0,0,0.8986504077911377
207,50,0.3,0.3,1686,0,0,1.0315732955932617
208,50,0.3,0.3,1,0,0,0.02056264877319336
209,50,0.3,0.3,1663,98,1,0.8128311634063721
210,50,0.3,0.3,1,0,0,0.010678529739379883
211,50,0.3,0.3,1618,0,0,0.6448874473571777
212,50,0.3,0.3,1,0,0,0.4220888614654541
213,50,0.3,0.3,1,0,0,0.30121588706970215
214,50,0.3,0.3,1698,98,1,0.8031063079833984
215,50,0.3,0.3,3,0,0,0.20043253898620605
216,50,0.3,0.3,1687,0,0,1.00199556350708
217,50,0.3,0.3,1715,98,1,0.7574548721313477
218,50,0.3,0.3,1641,0,0,0.851464033126831
219,50,0.3,0.3,1,0,0,0.016297578811645508
220,50,0.3,0.3,6,0,0,0.052129507064819336
221,50,0.3,0.3,1718,0,0,0.6921288967132568
222,50,0.3,0.3,1,0,0,0.32822513580322266
223,50,0.3,0.3,1768,0,0,1.2344176769256592
224,50,0.3,0.3,1,0,0,0.6234712600708008
225,50,0.3,0.3,1647,100,1,0.7883639335632324
226,50,0.3,0.3,1633,100,1,0.8834018707275391
227,50,0.3,0.3,1691,98,1,1.0673105716705322
228,50,0.3,0.3,1623,98,1,0.9099502563476562
229,50,0.3,0.3,1692,0,0,0.8854773044586182
230,50,0.3,0.3,1707,110,1,0.5962851047515869
231,50,0.3,0.3,1756,98,1,0.8909099102020264
232,50,0.3,0.3,1695,0,0,0.8586256504058838
233,50,0.3,0.3,1,0,0,0.006510496139526367
234,50,0.3,0.3,1672,98,1,0.7490289211273193
235,50,0.3,0.3,1683,0,0,0.784245491027832
236,50,0.3,0.3,1719,0,0,1.2023403644561768
237,50,0.3,0.3,1673,100,1,0.9181878566741943
238,50,0.3,0.3,1703,100,1,0.7833261489868164
239,50,0.3,0.3,15,0,0,0.3842284679412842
240,50,0.3,0.3,1731,0,0,1.0498709678649902
241,50,0.3,0.3,1771,98,1,1.0137555599212646
242,50,0.3,0.3,1657,100,1,0.77073073387146
243,50,0.3,0.3,7,0,0,0.34035444259643555
244,50,0.3,0.3,1634,100,1,0.8688056468963623
245,50,0.3,0.3,16,0,0,0.38732075691223145
246,50,0.3,0.3,5,0,0,0.017732858657836914
247,50,0.3,0.3,1,0,0,0.012898445129394531
248,50,0.3,0.3,1734,100,1,0.669060468673706
249,50,0.3,0.3,1735,0,0,0.6934685707092285
250,50,0.3,0.3,1432,0,0,0.7228331565856934
251,50,0.3,0.3,1731,98,1,0.8698348999023438
252,50,0.3,0.3,1,0,0,0.01763606071472168
253,50,0.3,0.3,1695,106,1,0.9657280445098877
254,50,0.3,0.3,4,0,0,0.015470027923583984
255,50,0.3,0.3,1687,98,1,0.832862138748169
256,50,0.3,0.3,1728,98,1,1.0166935920715332
257,50,0.3,0.3,1755,100,1,1.0677058696746826
258,50,0.3,0.3,63,0,0,0.18186330795288086
259,50,0.3,0.3,3,0,0,0.3678708076477051
260,50,0.3,0.3,1666,0,0,0.8489351272583008
261,50,0.3,0.3,1693,100,1,0.8996355533599854
262,50,0.3,0.3,1683,98,1,0.736706018447876
263,50,0.3,0.3,1669,98,1,0.8483090400695801
264,50,0.3,0.3,4,0,0,0.42110157012939453
265,50,0.3,0.3,1,0,0,0.016768932342529297
266,50,0.3,0.3,1637,98,1,0.9165425300598145
267,50,0.3,0.3,1628,0,0,0.8014674186706543
268,50,0.3,0.3,47,0,0,0.7113416194915771
269,50,0.3,0.3,1521,0,0,0.7666828632354736
270,50,0.3,0.3,1725,104,1,0.9509344100952148
271,50,0.3,0.3,6,0,0,0.19889616966247559
272,50,0.3,0.3,1681,102,1,0.9499473571777344
273,50,0.3,0.3,1763,0,0,1.2666258811950684
274,50,0.3,0.3,1,0,0,0.01765584945678711
275,50,0.3,0.3,1662,104,1,0.8341543674468994
276,50,0.3,0.3,1677,98,1,0.9499330520629883
277,50,0.3,0.3,1695,100,1,0.8499484062194824
278,50,0.3,0.3,1651,106,1,0.8332951068878174
279,50,0.3,0.3,1690,98,1,1.066589593887329
