,Dimension,Probability,Number_of_nodes_visited,Path_Length,Solvable,Time
51,50,0.1,2262,99,1,2.3491501808166504
52,50,0.1,2270,99,1,2.332404136657715
53,50,0.1,2251,99,1,2.4183542728424072
54,50,0.1,2246,99,1,2.457101583480835
55,50,0.1,2231,99,1,2.102466344833374
56,50,0.1,2254,99,1,2.3308441638946533
57,50,0.1,2243,99,1,2.21457839012146
58,50,0.1,2255,99,1,2.678907871246338
59,50,0.1,2252,99,1,2.1445138454437256
60,50,0.1,2250,99,1,2.164457082748413
61,50,0.1,2277,99,1,2.193727731704712
62,50,0.1,2254,99,1,2.1644558906555176
63,50,0.1,2244,99,1,2.1948304176330566
64,50,0.1,2224,99,1,2.3087241649627686
65,50,0.1,2245,99,1,2.2543797492980957
66,50,0.1,2267,99,1,2.7281875610351562
67,50,0.1,2246,99,1,2.3001835346221924
68,50,0.1,2274,99,1,2.3497800827026367
69,50,0.1,2259,99,1,2.1769051551818848
70,50,0.1,2238,99,1,2.269890546798706
71,50,0.1,2244,99,1,2.1952555179595947
72,50,0.1,2279,99,1,2.383969783782959
73,50,0.1,2244,99,1,2.0271809101104736
74,50,0.1,2257,99,1,2.2355234622955322
75,50,0.1,2262,99,1,1.948577880859375
76,50,0.1,2259,99,1,1.9851462841033936
77,50,0.1,2234,99,1,1.9832422733306885
78,50,0.1,2240,99,1,2.080016851425171
79,50,0.1,2268,99,1,2.2472801208496094
80,50,0.1,2250,99,1,2.016367197036743
81,50,0.1,2272,99,1,2.1114823818206787
82,50,0.1,2234,99,1,1.9672648906707764
83,50,0.1,2243,99,1,2.0419936180114746
84,50,0.1,2254,99,1,2.1582424640655518
85,50,0.1,2235,99,1,1.9815475940704346
86,50,0.1,2244,99,1,1.8665177822113037
87,50,0.1,2246,99,1,2.0084304809570312
88,50,0.1,2252,0,0,2.3625283241271973
89,50,0.1,2249,99,1,2.176450729370117
90,50,0.1,2231,99,1,2.8034980297088623
91,50,0.1,2235,99,1,2.1570379734039307
92,50,0.1,2242,99,1,2.032829761505127
93,50,0.1,2244,99,1,2.150174379348755
94,50,0.1,2272,99,1,2.2764334678649902
95,50,0.1,2240,99,1,2.164523124694824
96,50,0.1,2272,99,1,2.4187281131744385
97,50,0.1,2240,99,1,2.3063836097717285
98,50,0.1,2251,99,1,1.9648973941802979
99,50,0.1,2276,99,1,2.1826601028442383
100,50,0.2,2014,99,1,1.8470807075500488
101,50,0.2,1994,99,1,1.7721822261810303
102,50,0.2,2002,99,1,1.7367541790008545
103,50,0.2,2005,99,1,1.874981164932251
104,50,0.2,2003,99,1,1.849039077758789
105,50,0.2,1973,99,1,1.8675956726074219
106,50,0.2,1,0,0,0.007359743118286133
107,50,0.2,1993,99,1,1.7911326885223389
108,50,0.2,2018,99,1,1.8404409885406494
109,50,0.2,1,0,0,0.0
110,50,0.2,1976,99,1,1.7688696384429932
111,50,0.2,1984,99,1,1.6839051246643066
112,50,0.2,2001,99,1,1.8164043426513672
113,50,0.2,1958,99,1,1.8169686794281006
114,50,0.2,1991,101,1,1.7527217864990234
115,50,0.2,1996,99,1,1.79740309715271
116,50,0.2,1,0,0,0.015558481216430664
117,50,0.2,1994,99,1,1.851438045501709
118,50,0.2,1972,99,1,1.8310110569000244
119,50,0.2,1983,99,1,1.7264595031738281
120,50,0.2,1994,99,1,1.745856761932373
121,50,0.2,1985,99,1,1.9023818969726562
122,50,0.2,1979,99,1,2.01625394821167
123,50,0.2,1948,99,1,1.779794692993164
124,50,0.2,1985,99,1,1.836021900177002
125,50,0.2,2043,99,1,2.033348321914673
126,50,0.2,1977,99,1,2.0429110527038574
127,50,0.2,1984,99,1,1.9321136474609375
128,50,0.2,1966,99,1,1.9674479961395264
129,50,0.2,1983,99,1,1.9500963687896729
130,50,0.2,1989,99,1,1.7320830821990967
131,50,0.2,1989,99,1,1.7015502452850342
132,50,0.2,1984,0,0,1.7671797275543213
133,50,0.2,2000,99,1,2.1615757942199707
134,50,0.2,2040,99,1,1.9748101234436035
135,50,0.2,1989,99,1,2.129939317703247
136,50,0.2,1949,99,1,2.103724718093872
137,50,0.2,1988,99,1,1.8474676609039307
138,50,0.2,1,0,0,0.0
139,50,0.2,1961,103,1,1.8834547996520996
140,50,0.2,1991,99,1,2.169830799102783
141,50,0.2,1992,99,1,2.0038747787475586
142,50,0.2,1979,99,1,2.527324676513672
143,50,0.2,1964,99,1,1.6959736347198486
144,50,0.2,1993,99,1,2.319690465927124
145,50,0.2,1975,99,1,1.7988309860229492
146,50,0.2,2005,99,1,1.7831268310546875
147,50,0.2,2008,99,1,1.7446935176849365
148,50,0.2,1,0,0,0.0168764591217041
149,50,0.2,1998,99,1,1.967881202697754
150,50,0.2,2002,99,1,1.8197877407073975
151,50,0.2,2007,99,1,1.8139846324920654
152,50,0.2,1988,99,1,1.9877982139587402
153,50,0.2,1989,99,1,1.8841443061828613
154,50,0.2,2003,99,1,1.8845701217651367
155,50,0.2,1998,99,1,1.7666316032409668
156,50,0.2,1990,99,1,1.8676319122314453
157,50,0.2,1984,0,0,1.8830080032348633
158,50,0.2,2,0,0,0.0
159,50,0.2,4,0,0,0.0
160,50,0.2,1961,99,1,1.8834686279296875
161,50,0.2,1996,99,1,1.9006288051605225
162,50,0.2,2023,0,0,2.1147115230560303
163,50,0.2,2048,99,1,1.9176719188690186
164,50,0.2,3,0,0,0.0020532608032226562
165,50,0.2,1973,99,1,1.9794645309448242
166,50,0.2,8,0,0,0.0
